buyer_id,date,hour,spend
11,6/13/18,23,$1.13 
12,5/17/18,0,$4.41 
12,5/17/18,1,$4.99 
12,5/17/18,2,$4.70 
12,5/17/18,3,$3.53 
12,5/17/18,4,$1.94 
12,5/17/18,5,$1.31 
12,5/17/18,6,$0.63 
12,5/17/18,7,$0.46 
12,5/17/18,8,$0.31 
12,5/17/18,9,$0.62 
12,5/17/18,10,$1.06 
12,5/17/18,11,$1.80 
12,5/17/18,12,$2.12 
12,5/17/18,13,$2.48 
12,5/17/18,14,$2.45 
12,5/17/18,15,$2.67 
12,5/17/18,16,$3.25 
12,5/17/18,17,$2.81 
12,5/17/18,18,$2.56 
12,5/17/18,19,$2.70 
12,5/17/18,20,$2.16 
12,5/17/18,21,$2.48 
12,5/17/18,22,$2.33 
12,5/17/18,23,$2.06 
12,5/18/18,0,$1.72 
12,5/18/18,1,$2.05 
12,5/18/18,2,$1.79 
12,5/18/18,3,$1.16 
12,5/18/18,4,$0.90 
12,5/18/18,5,$0.46 
12,5/18/18,6,$0.43 
12,5/18/18,7,$0.14 
12,5/18/18,8,$0.13 
12,5/18/18,9,$0.12 
12,5/18/18,10,$0.20 
12,5/18/18,11,$0.43 
12,5/18/18,12,$0.82 
12,5/18/18,13,$0.69 
12,5/18/18,14,$0.67 
12,5/18/18,15,$0.58 
12,5/18/18,16,$0.65 
12,5/18/18,17,$0.41 
12,5/18/18,18,$0.43 
12,5/18/18,19,$0.31 
12,5/18/18,20,$0.17 
12,5/18/18,21,$0.17 
12,5/18/18,22,$0.15 
12,5/18/18,23,$0.04 
12,5/21/18,22,$0.01 
12,5/21/18,23,$0.05 
12,5/22/18,0,$0.09 
12,5/22/18,1,$0.14 
12,5/22/18,2,$0.14 
12,5/22/18,3,$0.22 
12,5/22/18,4,$0.12 
12,5/22/18,5,$0.14 
12,5/22/18,6,$0.09 
12,5/22/18,7,$0.04 
12,5/22/18,8,$0.07 
12,5/22/18,9,$0.08 
12,5/22/18,10,$0.22 
12,5/22/18,11,$0.45 
12,5/22/18,12,$0.88 
12,5/22/18,13,$1.13 
12,5/22/18,14,$1.08 
12,5/22/18,15,$1.44 
12,5/22/18,16,$1.69 
12,5/22/18,17,$1.87 
12,5/22/18,18,$1.69 
12,5/22/18,19,$2.26 
12,5/22/18,20,$1.88 
12,5/22/18,21,$1.65 
12,5/22/18,22,$1.89 
12,5/22/18,23,$1.53 
12,5/23/18,0,$1.21 
12,5/23/18,1,$1.54 
12,5/23/18,2,$1.47 
12,5/23/18,3,$1.60 
12,5/23/18,4,$0.91 
12,5/23/18,5,$0.72 
12,5/23/18,6,$0.42 
12,5/23/18,7,$0.23 
12,5/23/18,8,$0.33 
12,5/23/18,9,$0.46 
12,5/23/18,10,$0.96 
12,5/23/18,11,$1.38 
12,5/23/18,12,$2.45 
12,5/23/18,13,$2.82 
12,5/23/18,14,$2.88 
12,5/23/18,15,$3.16 
12,5/23/18,16,$3.37 
12,5/23/18,17,$3.27 
12,5/23/18,18,$2.61 
12,5/23/18,19,$2.44 
12,5/23/18,20,$2.52 
12,5/23/18,21,$2.50 
12,5/23/18,22,$1.65 
12,5/23/18,23,$1.38 
12,5/24/18,0,$1.13 
12,5/24/18,1,$1.38 
12,5/24/18,2,$1.41 
12,5/24/18,3,$0.94 
12,5/24/18,4,$0.69 
12,5/24/18,5,$0.65 
12,5/24/18,6,$0.38 
12,5/24/18,7,$0.22 
12,5/24/18,8,$0.22 
12,5/24/18,9,$0.25 
12,5/24/18,10,$0.66 
12,5/24/18,11,$1.24 
12,5/24/18,12,$1.44 
12,5/24/18,13,$1.75 
12,5/24/18,14,$1.77 
12,5/24/18,15,$1.74 
12,5/24/18,16,$2.07 
12,5/24/18,17,$2.48 
12,5/24/18,18,$2.14 
12,5/24/18,19,$2.20 
12,5/24/18,20,$1.90 
12,5/24/18,21,$1.47 
12,5/24/18,22,$2.02 
12,5/24/18,23,$1.86 
12,5/25/18,0,$1.70 
12,5/25/18,1,$1.72 
12,5/25/18,2,$1.92 
12,5/25/18,3,$1.55 
12,5/25/18,4,$1.18 
12,5/25/18,5,$0.73 
12,5/25/18,6,$0.36 
12,5/25/18,7,$0.28 
12,5/25/18,8,$0.22 
12,5/25/18,9,$0.38 
12,5/25/18,10,$0.74 
12,5/25/18,11,$1.09 
12,5/25/18,12,$1.45 
12,5/25/18,13,$1.95 
12,5/25/18,14,$2.10 
12,5/25/18,15,$2.30 
12,5/25/18,16,$2.75 
12,5/25/18,17,$3.29 
12,5/25/18,18,$2.90 
12,5/25/18,19,$2.95 
12,5/25/18,20,$2.63 
12,5/25/18,21,$2.31 
12,5/25/18,22,$2.21 
12,5/25/18,23,$2.27 
12,5/26/18,0,$2.20 
12,5/26/18,1,$1.02 
12,5/26/18,2,$0.13 
12,5/26/18,3,$0.11 
12,5/26/18,4,$0.07 
12,5/26/18,5,$0.07 
12,5/26/18,6,$0.07 
12,5/26/18,7,$0.07 
12,5/26/18,8,$0.15 
12,5/26/18,9,$0.37 
12,5/26/18,10,$1.14 
12,5/26/18,11,$2.13 
12,5/26/18,12,$3.61 
12,5/26/18,13,$5.22 
12,5/26/18,14,$6.81 
12,5/26/18,15,$7.26 
12,5/26/18,16,$7.11 
12,5/26/18,17,$7.50 
12,5/26/18,18,$7.77 
12,5/26/18,19,$8.09 
12,5/26/18,20,$8.55 
12,5/26/18,21,$9.01 
12,5/26/18,22,$10.17 
12,5/26/18,23,$10.09 
12,5/27/18,0,$10.34 
12,5/27/18,1,$10.85 
12,5/27/18,2,$10.64 
12,5/27/18,3,$10.35 
12,5/27/18,4,$8.75 
12,5/27/18,5,$6.96 
12,5/27/18,6,$4.85 
12,5/27/18,7,$2.32 
12,5/27/18,8,$1.29 
12,5/27/18,9,$1.29 
12,5/27/18,10,$2.13 
12,5/27/18,11,$4.21 
12,5/27/18,12,$5.93 
12,5/27/18,13,$8.91 
12,5/27/18,14,$9.27 
12,5/27/18,15,$9.89 
12,5/27/18,16,$9.25 
12,5/27/18,17,$8.67 
12,5/27/18,18,$8.10 
12,5/27/18,19,$8.85 
12,5/27/18,20,$8.34 
12,5/27/18,21,$8.33 
12,5/27/18,22,$7.78 
12,5/27/18,23,$6.80 
12,5/28/18,0,$6.49 
12,5/28/18,1,$7.78 
12,5/28/18,2,$7.50 
12,5/28/18,3,$7.24 
12,5/28/18,4,$6.35 
12,5/28/18,5,$4.68 
12,5/28/18,6,$3.12 
12,5/28/18,7,$1.79 
12,5/28/18,8,$1.18 
12,5/28/18,9,$1.17 
12,5/28/18,10,$2.07 
12,5/28/18,11,$3.97 
12,5/28/18,12,$5.50 
12,5/28/18,13,$7.44 
12,5/28/18,14,$8.33 
12,5/28/18,15,$8.33 
12,5/28/18,16,$7.98 
12,5/28/18,17,$7.57 
12,5/28/18,18,$7.34 
12,5/28/18,19,$7.88 
12,5/28/18,20,$7.54 
